hotel_name,reg,state,types,cus_name,phone_no,emel,customer_rating,membership,rep_guest,prev_cancel,payment_method,card_no,resv_status,meal,assgn_room,cus_seg,room-type,adult,(child),dis_channel,price,nights,package_,gross,disc,disc_amt,sales,dep,d_s,arrival_date,depature_date,ADR,Sales Person ,pos,comm_pay,customer_review
"Lexis Suites, Penang",North,Penang ,City Hotel ,Rachel Friedman,435-075-8409,Rachel.F@protonmail.com,5,Platinum,0,0,Cash,************9767,Check-Out,HB,G,Individual,Deluxe Room,2, -   ,Agoda,650,10,400,"6,500",10%,650,"6,250",300, Refunded  ,03/09/2024,13/09/2024,154.77,Amy,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Edward Torres,790-746-7471,Edward.T@zoho.com,5,N/A,0,0,Credit Card,************7719,Check-Out,BB,E,Individual,Deluxe Room,2, -   ,Direct,650,5,200,"3,250",0%, -   ,"3,450",300, Refunded  ,08/01/2024,13/01/2024,94.71,Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Samuel Zavala,649-384-5387,Zavala_Samuel46@xfinity.com,5,Gold,0,0,Online Transfer,************7612,Check-Out,BB,E,Family,Royal Suite ,3,4,Direct,"1,800",4,560,"7,200",5%,360,"7,400",300, Refunded  ,12/04/2024,16/04/2024,97,Amy,Sales Executive,30,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Dr. Victor Martin,331-430-8824,Dr.Martin@xfinity.com,5,Gold,0,0,Cash,************6279,Check-Out,BB,E,Individual,Deluxe Room,2, -   ,Agoda,650,13,520,"8,450",5%,423,"8,548",300, Refunded  ,05/11/2024,18/11/2024,97.5,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Sara Lee,573-306-9938,Sara.L@hotmail.com,5,Platinum,0,0,Cash,************8950,Check-Out,BB,E,Corporate,Single Room,1, -   ,Direct,550,8,160,"4,400",10%,440,"4,120",300, Refunded  ,13/07/2024,21/07/2024,88.2,Derek,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Curtis Rodriguez,466-424-2102,CRodriguez@verizon.com,4,Platinum,0,0,Credit Card,************1179,Check-Out,BB,G,Individual,Deluxe Room,2, -   ,Booking.com,650,9,360,"5,850",10%,585,"5,625",300, Refunded  ,21/03/2024,30/03/2024,107.42,Leo,Sales Manager,20,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Stephanie Schmidt,896-642-1049,StephanieSchmidt@hotmail.com,5,Platinum,0,0,Online Transfer,************1110,Check-Out,BB,G,Family,Single Room,1,2,Direct,550,15,900,"8,250",10%,825,"8,325",300, Refunded  ,03/03/2024,18/03/2024,153,Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,John Matthews,952-496-4398,John.Matthews@aol.com,4,Platinum,0,0,Credit Card,************1019,Check-Out,BB,F,Corporate,Single Room,1, -   ,Agoda,550,16,320,"8,800",10%,880,"8,240",300, Refunded  ,05/07/2024,21/07/2024,97.29,Amy,Sales Executive,15,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Robert Chung,382-465-6552,Robert.Chung47@yandex.com,5,Platinum,0,0,Cash,************8524,Check-Out,BB,A,Individual,Deluxe Room,2, -   ,Booking.com,650,16,640,"10,400",10%,"1,040","10,000",300, Refunded  ,09/02/2024,25/02/2024,84.67,Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Mark Garcia,784-675-4921,MGarcia16@comcast.net,5,Platinum,0,0,Credit Card,************4371,Check-Out,BB,A,Individual,Single Room,2, -   ,Direct,550,14,560,"7,700",10%,770,"7,490",300, Refunded  ,14/07/2024,28/07/2024,84.67,Amy,Sales Executive,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Brandon Taylor,227-329-7167,BrandonTaylor@hotmail.com,5,Gold,0,0,Online Transfer,************8470,Check-Out,BB,D,Family,Single Room,1,2,Direct,550,16,960,"8,800",5%,440,"9,320",300, Refunded  ,11/03/2024,27/03/2024,99.67,Leo,Sales Manager,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Angie Sanchez,211-889-2476,Angie_Sanchez@att.com,4,Platinum,0,0,Credit Card,************8871,Check-Out,HB,I,Corporate,Deluxe Room,3, -   ,Direct,650,11,660,"7,150",10%,715,"7,095",300, Refunded  ,12/08/2024,23/08/2024,94.95,Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Alexis King,103-516-5853,King_Alexis70@hotmail.com,5,Gold,0,0,Credit Card,************6809,Check-Out,BB,D,Individual,Deluxe Room,2, -   ,Booking.com,650,4,160,"2,600",5%,130,"2,630",300, Refunded  ,31/05/2024,04/06/2024,63.6,Bernice,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Michael Davidson,336-525-2460,MichaelDavidson82@att.com,5,N/A,0,0,Online Transfer,************8662,Check-Out,BB,D,Individual,Deluxe Room,2, -   ,Agoda,650,1,40,650,0%, -   ,690,300, Refunded  ,07/04/2024,08/04/2024,79.5,Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Jaime Flynn,549-866-3721,JaimeFlynn29@gmail.com,4,Gold,0,0,Online Transfer,************9660,Check-Out,BB,E,Family,Studio,2,2,Direct,"1,650",2,160,"3,300",5%,165,"3,295",300, Refunded  ,18/01/2024,20/01/2024,107,Derek,Sales Executive,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Mrs. Alicia Williams,427-564-4927,Mrs..W61@yandex.com,5,Platinum,0,0,Credit Card,************4445,Check-Out,BB,A,Corporate,Deluxe Room,3, -   ,Booking.com,650,8,480,"5,200",10%,520,"5,160",300, Refunded  ,02/01/2024,10/01/2024,94,Derek,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Heather Hart,431-329-6663,Heather.H@xfinity.com,5,N/A,0,0,Credit Card,************2780,Check-Out,BB,D,Corporate,Single Room,1, -   ,Booking.com,550,6,120,"3,300",0%, -   ,"3,420",300, Refunded  ,10/11/2024,16/11/2024,87.3,Derek,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Diamond Wilson,870-563-6202,Wilson.Diamond@comcast.net,4,N/A,0,0,Online Transfer,************8017,Check-Out,BB,A,Corporate,Deluxe Room,3, -   ,Agoda,650,6,360,"3,900",0%, -   ,"4,260",300, Refunded  ,27/06/2024,03/07/2024,62,Amy,Sales Executive,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Paul Williams,789-736-8837,Williams_Paul@xfinity.com,5,Platinum,0,0,Online Transfer,************7006,Check-Out,BB,D,Family,Single Room,1,2,Direct,550,11,660,"6,050",10%,605,"6,105",300, Refunded  ,25/02/2024,07/03/2024,63.86,Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Reginald Cunningham,800-249-2144,Reginald_C57@outlook.com,5,Platinum,0,0,Cash,************5699,Check-Out,BB,E,Corporate,Single Room,1, -   ,Booking.com,550,8,160,"4,400",10%,440,"4,120",300, Refunded  ,11/11/2024,19/11/2024,108.3,Leo,Sales Manager,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Willie Sims,790-830-7635,Willie_S@yahoo.com,5,Platinum,0,0,Credit Card,************7682,Check-Out,BB,C,Corporate,Single Room,1, -   ,Booking.com,550,8,160,"4,400",10%,440,"4,120",300, Refunded  ,13/11/2024,21/11/2024,65.5,Leo,Sales Manager,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Alex Brown,956-737-1944,Alex.B@zoho.com,5,Gold,0,0,Credit Card,************4084,Check-Out,BB,D,Family,Deluxe Room,2,2,Agoda,650,4,320,"2,600",5%,130,"2,790",300, Refunded  ,10/12/2024,14/12/2024,108.8,Amy,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Virginia Holden,734-480-9929,Virginia.H@aol.com,3,Platinum,0,0,Credit Card,************8469,Check-Out,BB,D,Family,Single Room,1,1,Booking.com,550,11,440,"6,050",10%,605,"5,885",300, Refunded  ,08/04/2024,19/04/2024,108.8,Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,John Smith,624-965-3392,John_Smith@xfinity.com,4,Platinum,0,0,Cash,************6445,Check-Out,BB,C,Individual,Deluxe Room,2, -   ,Direct,650,16,640,"10,400",10%,"1,040","10,000",300, Forfeited  ,26/10/2024,11/11/2024,98,Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Jennifer Barton,902-792-8048,JBarton@hotmail.com,4,Gold,0,0,Cash,************2544,Check-Out,BB,D,Individual,Deluxe Room,2, -   ,Booking.com,650,5,200,"3,250",5%,163,"3,288",300, Refunded  ,19/09/2024,24/09/2024,108.8,Derek,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Richard Holt,517-420-6344,Richard.Holt@hotmail.com,5,Platinum,0,0,Cash,************7544,Check-Out,BB,D,Corporate,Single Room,1, -   ,Booking.com,550,12,240,"6,600",10%,660,"6,180",300, Refunded  ,10/10/2024,22/10/2024,108.8,Leo,Sales Manager,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Amy Green,858-208-4589,Amy.Green56@gmail.com,5,Gold,0,0,Cash,************3073,Check-Out,HB,E,Family,Deluxe Room,3,1,Booking.com,650,1,80,650,5%,33,698,300, Refunded  ,28/06/2024,29/06/2024,137,Derek,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Kimberly Perez,320-615-3590,Perez.Kimberly84@hotmail.com,5,Platinum,0,0,Cash,************4653,Check-Out,BB,G,Family,Deluxe Room,2,1,Direct,650,16,960,"10,400",10%,"1,040","10,320",300, Refunded  ,15/09/2024,01/10/2024,117.81,Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Carly Armstrong,521-784-3601,CArmstrong@mail.com,4,Gold,0,0,Credit Card,************7391,Check-Out,BB,D,Individual,Deluxe Room,2, -   ,Booking.com,650,7,280,"4,550",5%,228,"4,603",300, Refunded  ,10/03/2024,17/03/2024,79.5,Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Scott Hammond,632-108-8350,ScottHammond41@verizon.com,5,Gold,0,0,Cash,************4823,Check-Out,BB,F,Individual,Deluxe Room,3, -   ,Booking.com,650,15,900,"9,750",5%,488,"10,163",300, Refunded  ,26/04/2024,11/05/2024,123,Derek,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Debra Fuller,229-134-3710,Debra.Fuller@protonmail.com,4,N/A,0,0,Online Transfer,************3550,Check-Out,HB,E,Family,Single Room,1,2,Booking.com,550,10,600,"5,500",0%, -   ,"6,100",300, Refunded  ,13/01/2024,23/01/2024,137,Derek,Sales Executive,15,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Rachel Davis,549-261-2558,RachelDavis@mail.com,5,Platinum,0,0,Online Transfer,************2810,Check-Out,BB,A,Individual,Deluxe Room,3, -   ,Direct,650,15,900,"9,750",10%,975,"9,675",300, Refunded  ,30/06/2024,15/07/2024,110.7,Bernice,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Michael Mccormick,380-830-9585,Mccormick.Michael19@aol.com,5,Platinum,0,0,Cash,************2950,Check-Out,BB,G,Individual,Deluxe Room,3, -   ,Direct,650,7,420,"4,550",10%,455,"4,515",300, Refunded  ,18/10/2024,25/10/2024,153,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Ann Sullivan,947-577-3720,AnnSullivan@att.com,3,Platinum,0,0,Credit Card,************4782,Check-Out,BB,A,Individual,Deluxe Room,3, -   ,Agoda,650,13,780,"8,450",10%,845,"8,385",300, Refunded  ,02/07/2024,15/07/2024,58.95,Bernice,Sales Executive,20,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Rachel Wallace,870-988-2775,Rachel_W79@xfinity.com,3,Gold,0,0,Credit Card,************1133,Check-Out,BB,E,Family,Deluxe Room,2,1,Agoda,650,11,660,"7,150",5%,358,"7,453",300, Refunded  ,08/05/2024,19/05/2024,82.88,Bernice,Sales Executive,20,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Carla Ferguson,724-910-8709,Carla_Ferguson@att.com,3,Gold,0,0,Credit Card,************8339,Check-Out,HB,B,Corporate,Single Room,1, -   ,Agoda,550,8,160,"4,400",5%,220,"4,340",300, Refunded  ,21/01/2024,29/01/2024,82.35,Amy,Sales Executive,15,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Greg Hardin,488-646-3204,Hardin_Greg@gmail.com,5,Gold,0,0,Cash,************1449,Check-Out,HB,F,Individual,Deluxe Room,2, -   ,Direct,650,15,600,"9,750",5%,488,"9,863",300, Refunded  ,20/09/2024,05/10/2024,119.35,Amy,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Rachel Ho,338-173-6502,Ho_Rachel74@aol.com,5,N/A,0,0,Cash,************4642,Check-Out,BB,D,Corporate,Deluxe Room,3, -   ,Direct,650,3,180,"1,950",0%, -   ,"2,130",300, Refunded  ,05/07/2024,08/07/2024,67.58,Bernice,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Elizabeth Joseph,625-613-9890,Joseph_Elizabeth@yandex.com,5,Gold,0,0,Cash,************5898,Check-Out,BB,A,Family,Studio,3,2,Direct,"1,650",16,"1,600","26,400",5%,"1,320","26,680",300, Refunded  ,21/03/2024,06/04/2024,56.01,Leo,Sales Manager,25,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Stephen Brown,154-115-9953,Stephen.Brown@att.com,4,Platinum,0,0,Credit Card,************6842,Check-Out,BB,D,Corporate,Deluxe Room,3, -   ,Agoda,650,3,180,"1,950",10%,195,"1,935",300, Refunded  ,16/03/2024,19/03/2024,110.7,Kelly,Sales Executive,20,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Scott Ward,463-281-5751,Scott_Ward11@hotmail.com,5,Platinum,0,0,Credit Card,************2726,Check-Out,BB,C,Individual,Deluxe Room,2, -   ,Agoda,650,5,200,"3,250",10%,325,"3,125",300, Refunded  ,06/12/2024,11/12/2024,88.2,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Derrick Bailey,709-066-0652,Derrick_Bailey@protonmail.com,4,Platinum,0,0,Credit Card,************6401,Check-Out,BB,H,Corporate,Deluxe Room,3, -   ,Booking.com,650,10,600,"6,500",10%,650,"6,450",300, Refunded  ,15/05/2024,25/05/2024,147,Leo,Sales Manager,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Jessica Cole,179-191-0924,Jessica_Cole@yahoo.com,5,Gold,0,0,Credit Card,************3609,Check-Out,BB,C,Family,Single Room,1,1,Booking.com,550,9,360,"4,950",5%,248,"5,063",300, Refunded  ,05/01/2024,14/01/2024,107,Amy,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Reginald Russo,765-624-6051,Russo.Reginald65@comcast.net,5,Platinum,0,0,Cash,************1221,Check-Out,BB,H,Corporate,Single Room,1, -   ,Agoda,550,16,320,"8,800",10%,880,"8,240",300, Refunded  ,07/12/2024,23/12/2024,147,Leo,Sales Manager,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,William Sanchez,120-215-7905,William.Sanchez@mail.com,3,N/A,0,0,Credit Card,************2923,Check-Out,BB,D,Individual,Deluxe Room,2, -   ,Direct,650,1,40,650,0%, -   ,690,300, Refunded  ,25/10/2024,26/10/2024,117.9,Kelly,Sales Executive,20,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Diane Rose,362-196-5800,Diane.Rose@protonmail.com,5,N/A,0,0,Online Transfer,************7251,Check-Out,BB,G,Corporate,Deluxe Room,3, -   ,Direct,650,13,780,"8,450",0%, -   ,"9,230",300, Refunded  ,11/09/2024,24/09/2024,123,Kelly,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Nathan Smith,689-649-9029,Nathan_Smith@comcast.net,3,Platinum,0,0,Cash,************4556,Check-Out,BB,C,Family,Single Room,1,1,Agoda,550,5,200,"2,750",10%,275,"2,675",300, Refunded  ,24/04/2024,29/04/2024,98,Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Andrew Bullock,674-443-2397,AndrewBullock17@hotmail.com,5,Platinum,0,0,Cash,************4571,Check-Out,BB,G,Corporate,Single Room,1, -   ,Booking.com,550,9,180,"4,950",10%,495,"4,635",300, Forfeited  ,19/09/2024,28/09/2024,117.81,Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Nancy Mccormick,199-421-8585,Nancy.M@protonmail.com,5,N/A,0,0,Online Transfer,************7707,Check-Out,BB,E,Corporate,Single Room,1, -   ,Agoda,550,13,260,"7,150",0%, -   ,"7,410",300, Refunded  ,22/06/2024,05/07/2024,135,Kelly,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Barbara Cole,152-786-1085,Barbara.Cole@hotmail.com,4,Gold,0,0,Credit Card,************6762,Check-Out,BB,F,Individual,Deluxe Room,2, -   ,Booking.com,650,14,560,"9,100",5%,455,"9,205",300, Refunded  ,28/03/2024,11/04/2024,133,Kelly,Sales Executive,20,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Sheri Aguilar,333-467-7388,Aguilar.Sheri22@att.com,5,Platinum,0,0,Online Transfer,************5982,Check-Out,BB,C,Family,Single Room,1,1,Direct,550,12,480,"6,600",10%,660,"6,420",300, Refunded  ,24/11/2024,06/12/2024,58.95,Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Sandra Graham,141-723-4259,Sandra_Graham@xfinity.com,5,N/A,0,0,Credit Card,************4525,Check-Out,HB,A,Corporate,Deluxe Room,3, -   ,Direct,650,11,660,"7,150",0%, -   ,"7,810",300, Refunded  ,29/04/2024,10/05/2024,136.33,Amy,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Christopher Cabrera,852-612-3076,Cabrera.Christopher@yahoo.com,4,Platinum,0,0,Credit Card,************8922,Check-Out,BB,H,Corporate,Deluxe Room,3, -   ,Booking.com,650,5,300,"3,250",10%,325,"3,225",300, Refunded  ,29/02/2024,05/03/2024,153,Amy,Sales Executive,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Melinda Flores,419-443-6780,Flores_Melinda@yahoo.com,5,Platinum,0,0,Cash,************9114,Check-Out,BB,C,Individual,Single Room,2, -   ,Booking.com,550,11,440,"6,050",10%,605,"5,885",300, Refunded  ,25/11/2024,06/12/2024,110.5,Kelly,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Michael Whitehead,738-618-2202,Michael.W@mail.com,5,Platinum,0,0,Credit Card,************8548,Check-Out,BB,D,Family,Deluxe Room,2,1,Agoda,650,12,720,"7,800",10%,780,"7,740",300, Refunded  ,24/04/2024,06/05/2024,97,Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Brent Hamilton,304-692-3370,Brent.Hamilton15@gmail.com,4,Platinum,0,0,Cash,************9129,Check-Out,BB,A,Corporate,Single Room,1, -   ,Agoda,550,1,20,550,10%,55,515,300, Refunded  ,27/02/2024,28/02/2024,110.3,Amy,Sales Executive,15,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Jessica Bradford,207-319-4187,JBradford@outlook.com,5,Platinum,0,0,Credit Card,************6345,Check-Out,BB,A,Corporate,Single Room,1, -   ,Agoda,550,16,320,"8,800",10%,880,"8,240",300, Refunded  ,15/03/2024,31/03/2024,82,Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Marissa Robinson,770-855-7071,MarissaRobinson@mail.com,4,Platinum,0,0,Online Transfer,************8906,Check-Out,BB,D,Corporate,Deluxe Room,3, -   ,Direct,650,4,240,"2,600",10%,260,"2,580",300, Refunded  ,24/01/2024,28/01/2024,97,Leo,Sales Manager,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Jennifer Curry,964-722-0569,Jennifer_Curry@hotmail.com,5,Gold,0,0,Online Transfer,************2465,Check-Out,BB,A,Family,Deluxe Room,3,1,Agoda,650,2,160,"1,300",5%,65,"1,395",300, Refunded  ,11/07/2024,13/07/2024,73.8,Kelly,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Teresa Maldonado,623-086-5362,Maldonado_Teresa95@protonmail.com,5,Gold,0,0,Credit Card,************7419,Check-Out,HB,A,Corporate,Single Room,1, -   ,Booking.com,550,12,240,"6,600",5%,330,"6,510",300, Refunded  ,26/11/2024,08/12/2024,91.5,Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Bryan Perez,125-111-5926,BryanPerez@gmail.com,5,Platinum,0,0,Cash,************7649,Check-Out,BB,A,Individual,Deluxe Room,2, -   ,Booking.com,650,11,440,"7,150",10%,715,"6,875",300, Refunded  ,28/01/2024,08/02/2024,114.5,Kelly,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Timothy Horn,308-321-9169,Timothy.H@yandex.com,4,Platinum,0,0,Credit Card,************9797,Check-Out,BB,A,Corporate,Deluxe Room,3, -   ,Direct,650,3,180,"1,950",10%,195,"1,935",300, Refunded  ,07/06/2024,10/06/2024,110.3,Kelly,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Angela Williams,580-737-9824,Angela.Williams@xfinity.com,4,Gold,0,0,Cash,************2429,Check-Out,BB,A,Family,Studio,2,2,Booking.com,"1,650",7,560,"11,550",5%,578,"11,533",300, Refunded  ,13/12/2024,20/12/2024,90.9,Amy,Sales Executive,25,Very Good
